日期,操作类型,成交价格,操作数量,操作金额,操作后持仓,操作后市值,相对上次涨跌幅,手续费
2021-01-04,初始建仓,5267.72,9.49,49990.64,9.49,49990.64,0.00%,2.50
2021-01-05,网格卖出,5368.50,-0.37,-1986.35,9.120000000000001,48960.76,1.91%,0.10
2021-01-07,网格卖出,5513.66,-0.36,-1984.92,8.760000000000002,48299.63,2.70%,0.10
2021-01-11,网格买入,5441.16,0.37,2013.23,9.13,49677.78,-1.31%,0.10
2021-01-12,网格卖出,5596.35,-0.36,-2014.69,8.770000000000001,49080.01,2.85%,0.10
2021-01-14,网格买入,5470.46,0.37,2024.07,9.14,49999.97,-2.25%,0.10
2021-01-21,网格卖出,5564.97,-0.36,-2003.39,8.780000000000001,48860.43,1.73%,0.10
2021-01-25,网格卖出,5625.92,-0.36,-2025.33,8.420000000000002,47370.27,1.10%,0.10
2021-01-26,网格买入,5512.97,0.36,1984.67,8.780000000000001,48403.86,-2.01%,0.10
2021-01-28,网格买入,5377.14,0.37,1989.54,9.15,49200.86,-2.46%,0.10
2021-02-02,网格卖出,5501.09,-0.36,-1980.39,8.790000000000001,48354.59,2.31%,0.10
2021-02-08,网格卖出,5564.56,-0.36,-2003.24,8.430000000000001,46909.26,1.15%,0.10
2021-02-09,网格卖出,5686.25,-0.35,-1990.19,8.080000000000002,45944.90,2.19%,0.10
2021-02-10,网格卖出,5807.72,-0.34,-1974.62,7.740000000000002,44951.75,2.14%,0.10
2021-02-22,网格买入,5597.33,0.36,2015.04,8.100000000000001,45338.39,-3.62%,0.10
2021-02-24,网格买入,5437.57,0.37,2011.90,8.47,46056.20,-2.85%,0.10
2021-02-26,网格买入,5336.76,0.37,1974.60,8.84,47176.97,-1.85%,0.10
2021-03-01,网格卖出,5418.78,-0.37,-2004.95,8.47,45897.10,1.54%,0.10
2021-03-02,网格买入,5349.63,0.37,1979.36,8.84,47290.73,-1.28%,0.10
2021-03-03,网格卖出,5452.21,-0.37,-2017.32,8.47,46180.24,1.92%,0.10
2021-03-04,网格买入,5280.71,0.38,2006.67,8.850000000000001,46734.25,-3.15%,0.10
2021-03-08,网格买入,5080.02,0.39,1981.21,9.240000000000002,46939.43,-3.80%,0.10
2021-03-09,网格买入,4971.00,0.4,1988.40,9.640000000000002,47920.43,-2.15%,0.10
2021-03-11,网格卖出,5128.22,-0.39,-2000.00,9.250000000000002,47435.99,3.16%,0.10
2021-03-15,网格买入,5035.54,0.4,2014.22,9.650000000000002,48593.00,-1.81%,0.10
2021-03-17,网格卖出,5100.86,-0.39,-1989.33,9.260000000000002,47233.95,1.30%,0.10
2021-03-19,网格买入,5007.09,0.4,2002.84,9.660000000000002,48368.50,-1.84%,0.10
2021-03-24,网格买入,4928.69,0.41,2020.76,10.070000000000002,49631.86,-1.57%,0.10
2021-03-26,网格卖出,5037.99,-0.4,-2015.20,9.670000000000002,48717.36,2.22%,0.10
2021-03-30,网格卖出,5094.73,-0.39,-1986.94,9.280000000000001,47279.09,1.13%,0.10
2021-04-02,网格卖出,5161.56,-0.39,-2013.01,8.89,45886.24,1.31%,0.10
2021-04-07,网格买入,5103.74,0.39,1990.46,9.280000000000001,47362.73,-1.12%,0.10
2021-04-09,网格买入,5035.34,0.4,2014.13,9.680000000000001,48742.07,-1.34%,0.10
2021-04-12,网格买入,4947.75,0.4,1979.10,10.080000000000002,49873.28,-1.74%,0.10
2021-04-19,网格卖出,5087.02,-0.39,-1983.94,9.690000000000001,49293.19,2.81%,0.10
2021-04-29,网格卖出,5164.17,-0.39,-2014.03,9.3,48026.77,1.52%,0.10
2021-05-06,网格买入,5061.12,0.4,2024.45,9.700000000000001,49092.91,-2.00%,0.10
2021-05-07,网格买入,4996.05,0.4,1998.42,10.100000000000001,50460.13,-1.29%,0.10
2021-05-14,网格卖出,5110.59,-0.39,-1993.13,9.71,49623.83,2.29%,0.10
2021-05-17,网格卖出,5184.99,-0.39,-2022.14,9.32,48324.06,1.46%,0.10
2021-05-25,网格卖出,5318.48,-0.38,-2021.02,8.94,47547.19,2.57%,0.10
2021-06-03,网格买入,5255.29,0.38,1997.01,9.32,48979.26,-1.19%,0.10
2021-06-15,网格买入,5166.56,0.39,2014.96,9.71,50167.29,-1.69%,0.10
2021-06-16,网格买入,5080.49,0.39,1981.39,10.100000000000001,51312.96,-1.67%,0.10
2021-06-23,网格卖出,5147.39,-0.39,-2007.48,9.71,49981.19,1.32%,0.10
2021-06-25,网格卖出,5239.97,-0.38,-1991.19,9.33,48888.91,1.80%,0.10
2021-07-02,网格买入,5081.12,0.39,1981.64,9.72,49388.46,-3.03%,0.10
2021-07-07,网格卖出,5140.49,-0.39,-2004.79,9.33,47960.77,1.17%,0.10
2021-07-08,网格买入,5088.26,0.39,1984.42,9.72,49457.85,-1.02%,0.10
2021-07-13,网格卖出,5142.10,-0.39,-2005.42,9.33,47975.78,1.06%,0.10
2021-07-14,网格买入,5083.08,0.39,1982.40,9.72,49407.59,-1.15%,0.10
2021-07-15,网格卖出,5151.46,-0.39,-2009.07,9.33,48063.15,1.35%,0.10
2021-07-16,网格买入,5094.77,0.39,1986.96,9.72,49521.19,-1.10%,0.10
2021-07-22,网格卖出,5151.75,-0.39,-2009.18,9.33,48065.84,1.12%,0.10
2021-07-23,网格买入,5089.23,0.39,1984.80,9.72,49467.30,-1.21%,0.10
2021-07-26,网格买入,4925.30,0.41,2019.37,10.13,49893.28,-3.22%,0.10
2021-07-27,网格买入,4751.31,0.42,1995.55,10.55,50126.35,-3.53%,0.10
2021-07-29,网格卖出,4850.27,-0.41,-1988.61,10.14,49181.78,2.08%,0.10
2021-08-02,网格卖出,4933.74,-0.41,-2022.83,9.73,48005.25,1.72%,0.10
2021-08-09,网格卖出,4985.56,-0.4,-1994.23,9.33,46515.30,1.05%,0.10
2021-08-10,网格卖出,5043.15,-0.4,-2017.26,8.93,45035.31,1.16%,0.10
2021-08-12,网格买入,4973.35,0.4,1989.34,9.33,46401.36,-1.38%,0.10
2021-08-17,网格买入,4837.40,0.41,1983.34,9.74,47116.31,-2.73%,0.10
2021-08-18,网格卖出,4894.24,-0.41,-2006.64,9.33,45663.24,1.17%,0.10
2021-08-20,网格买入,4769.27,0.42,2003.09,9.75,46500.36,-2.55%,0.10
2021-08-23,网格卖出,4835.88,-0.41,-1982.71,9.34,45167.10,1.40%,0.10
2021-08-24,网格卖出,4888.39,-0.41,-2004.24,8.93,43653.32,1.09%,0.10
2021-08-26,网格买入,4801.61,0.42,2016.68,9.35,44895.05,-1.78%,0.10
2021-09-01,网格卖出,4869.46,-0.41,-1996.48,8.94,43532.96,1.41%,0.10
2021-09-06,网格卖出,4933.73,-0.41,-2022.83,8.53,42084.68,1.32%,0.10
2021-09-07,网格卖出,4992.83,-0.4,-1997.13,8.129999999999999,40591.70,1.20%,0.10
2021-09-14,网格买入,4917.16,0.41,2016.04,8.54,41992.56,-1.52%,0.10
2021-09-15,网格买入,4867.32,0.41,1995.60,8.95,43562.50,-1.01%,0.10
2021-09-16,网格买入,4807.70,0.42,2019.23,9.37,45048.13,-1.22%,0.10
2021-09-17,网格卖出,4855.94,-0.41,-1990.94,8.959999999999999,43509.22,1.00%,0.10
2021-10-08,网格卖出,4929.94,-0.41,-2021.28,8.549999999999999,42150.99,1.52%,0.10
2021-10-18,网格买入,4874.78,0.41,1998.66,8.959999999999999,43677.99,-1.12%,0.10
2021-10-21,网格卖出,4928.02,-0.41,-2020.49,8.549999999999999,42134.53,1.09%,0.10
2021-10-25,网格卖出,4979.52,-0.4,-1991.81,8.149999999999999,40583.12,1.05%,0.10
2021-10-27,网格买入,4898.16,0.41,2008.25,8.559999999999999,41928.29,-1.63%,0.10
2021-11-02,网格买入,4839.85,0.41,1984.34,8.969999999999999,43413.42,-1.19%,0.10
2021-11-11,网格卖出,4898.65,-0.41,-2008.45,8.559999999999999,41932.47,1.22%,0.10
2021-11-18,网格买入,4837.62,0.41,1983.42,8.969999999999999,43393.44,-1.25%,0.10
2021-11-19,网格卖出,4890.06,-0.41,-2004.92,8.559999999999999,41858.89,1.08%,0.10
2021-11-30,网格买入,4832.03,0.41,1981.13,8.969999999999999,43343.27,-1.19%,0.10
2021-12-03,网格卖出,4901.02,-0.41,-2009.42,8.559999999999999,41952.71,1.43%,0.10
2021-12-08,网格卖出,4995.93,-0.4,-1998.37,8.159999999999998,40766.79,1.94%,0.10
2021-12-09,网格卖出,5078.69,-0.39,-1980.69,7.769999999999999,39461.42,1.66%,0.10
2021-12-15,网格买入,5005.90,0.4,2002.36,8.169999999999998,40898.20,-1.43%,0.10
