日期,收盘价,估值指标,估值分位点,持仓市值,现金,总资产,仓位比例,信号
2015-01-05,26.10,4.12,0.9992,0.00,100000.00,100000.00,0.0000,持有
2015-01-06,26.14,4.12,0.9992,0.00,100000.00,100000.00,0.0000,持有
2015-01-07,27.23,4.29,0.9992,0.00,100000.00,100000.00,0.0000,持有
2015-01-08,26.55,4.19,0.9984,0.00,100000.00,100000.00,0.0000,持有
2015-01-09,26.33,4.15,0.9976,0.00,100000.00,100000.00,0.0000,持有
2015-01-12,25.25,3.98,0.9944,0.00,100000.00,100000.00,0.0000,持有
2015-01-13,24.23,3.82,0.9887,0.00,100000.00,100000.00,0.0000,持有
2015-01-14,24.60,3.88,0.9919,0.00,100000.00,100000.00,0.0000,持有
2015-01-15,25.13,3.96,0.9928,0.00,100000.00,100000.00,0.0000,持有
2015-01-16,24.79,3.91,0.9920,0.00,100000.00,100000.00,0.0000,持有
2015-01-19,22.31,3.52,0.9686,0.00,100000.00,100000.00,0.0000,持有
2015-01-20,20.10,3.17,0.9382,0.00,100000.00,100000.00,0.0000,持有
2015-01-21,21.65,3.41,0.9631,0.00,100000.00,100000.00,0.0000,持有
2015-01-22,21.41,3.38,0.9599,0.00,100000.00,100000.00,0.0000,持有
2015-01-23,22.00,3.47,0.9679,0.00,100000.00,100000.00,0.0000,持有
2015-01-26,21.56,3.40,0.9600,0.00,100000.00,100000.00,0.0000,持有
2015-01-27,21.13,3.33,0.9528,0.00,100000.00,100000.00,0.0000,持有
2015-01-28,21.74,3.43,0.9624,0.00,100000.00,100000.00,0.0000,持有
2015-01-29,21.22,3.35,0.9545,0.00,100000.00,100000.00,0.0000,持有
2015-01-30,20.98,3.31,0.9497,0.00,100000.00,100000.00,0.0000,持有
2015-02-02,20.28,3.20,0.9346,0.00,100000.00,100000.00,0.0000,持有
2015-02-03,21.39,3.37,0.9570,0.00,100000.00,100000.00,0.0000,持有
2015-02-04,21.11,3.33,0.9498,0.00,100000.00,100000.00,0.0000,持有
2015-02-05,21.15,3.34,0.9507,0.00,100000.00,100000.00,0.0000,持有
2015-02-06,21.32,3.36,0.9563,0.00,100000.00,100000.00,0.0000,持有
2015-02-09,22.15,3.49,0.9682,0.00,100000.00,100000.00,0.0000,持有
2015-02-10,22.25,3.51,0.9683,0.00,100000.00,100000.00,0.0000,持有
2015-02-11,22.08,3.48,0.9667,0.00,100000.00,100000.00,0.0000,持有
2015-02-12,21.84,3.44,0.9628,0.00,100000.00,100000.00,0.0000,持有
2015-02-13,21.94,3.46,0.9636,0.00,100000.00,100000.00,0.0000,持有
2015-02-16,21.82,3.44,0.9604,0.00,100000.00,100000.00,0.0000,持有
2015-02-17,21.98,3.47,0.9644,0.00,100000.00,100000.00,0.0000,持有
2015-02-25,21.65,3.41,0.9550,0.00,100000.00,100000.00,0.0000,持有
2015-02-26,22.54,3.55,0.9732,0.00,100000.00,100000.00,0.0000,持有
2015-02-27,22.24,3.51,0.9669,0.00,100000.00,100000.00,0.0000,持有
2015-03-02,22.50,3.55,0.9724,0.00,100000.00,100000.00,0.0000,持有
2015-03-03,21.56,3.40,0.9504,0.00,100000.00,100000.00,0.0000,持有
2015-03-04,21.37,3.37,0.9473,0.00,100000.00,100000.00,0.0000,持有
2015-03-05,21.30,3.36,0.9450,0.00,100000.00,100000.00,0.0000,持有
2015-03-06,21.17,3.34,0.9411,0.00,100000.00,100000.00,0.0000,持有
2015-03-09,20.83,3.29,0.9333,0.00,100000.00,100000.00,0.0000,持有
2015-03-10,20.73,3.27,0.9325,0.00,100000.00,100000.00,0.0000,持有
2015-03-11,20.69,3.26,0.9318,0.00,100000.00,100000.00,0.0000,持有
2015-03-12,21.24,3.35,0.9428,0.00,100000.00,100000.00,0.0000,持有
2015-03-13,21.26,3.35,0.9437,0.00,100000.00,100000.00,0.0000,持有
2015-03-16,21.67,3.42,0.9547,0.00,100000.00,100000.00,0.0000,持有
2015-03-17,22.29,3.52,0.9672,0.00,100000.00,100000.00,0.0000,持有
2015-03-18,22.58,3.56,0.9735,0.00,100000.00,100000.00,0.0000,持有
2015-03-19,22.36,3.53,0.9688,0.00,100000.00,100000.00,0.0000,持有
2015-03-20,24.36,3.84,0.9899,0.00,100000.00,100000.00,0.0000,持有
